plan_id,plan_name,workflow_type,trigger_stage,applicable_subtasks,complexity,estimated_time_ms,estimated_cost_usd,total_steps,parallel_groups,agents_required,description
PLAN-001,Inbound Lead Capture,inbound_lead_capture,1,1.1.1,simple,3500,0.45,3,1,"orchestrator,scout,content","Website valuation form submitted. Validate data, create CRM record, send acknowledgment, alert valuer."
PLAN-002,Portal Enquiry Response,portal_enquiry_response,1,1.2.1|6.1.1,simple,4300,0.83,4,2,"orchestrator,scout,content,compliance","Buyer enquiry from Rightmove/Zoopla. Generate personalized response, validate compliance, prepare negotiator brief."
PLAN-003,Buyer Qualification,buyer_qualification,1,1.3.1|1.3.2|1.3.3,medium,5500,0.95,4,2,"orchestrator,scout,compliance,intelligence","New buyer registration. Verify financial status, check AIP, assess requirements, match to properties."
PLAN-004,Pre-Valuation Research,pre_valuation_prep,2,2.1.1|2.1.2|2.1.3,medium,8500,1.45,5,2,"orchestrator,scout,intelligence,content","Prepare for valuation appointment. Research property, generate CMA, create marketing proposal."
PLAN-005,Instant Valuation,instant_valuation,2,2.2.4,simple,2500,0.55,3,1,"orchestrator,scout,intelligence","On-demand valuation estimate. Fetch comparables, analyze market, provide price range."
PLAN-006,Post-Valuation Follow-up,post_valuation_followup,2,2.3.1|2.3.2|2.3.3,simple,3800,0.65,3,1,"orchestrator,content,intelligence","Follow up after valuation. Generate thank you email, schedule callback, create nurture sequence if needed."
PLAN-007,Full Property Onboarding,full_onboarding,3,3.1.1|3.1.2|3.1.3|3.1.4|3.1.5|3.2.3|5.1.1,complex,45000,2.70,8,4,"orchestrator,scout,intelligence,content,compliance","Complete new instruction onboarding. CRM record, EPC check, AML verification, description, buyer matching."
PLAN-008,EPC Verification,epc_verification,3,3.1.3,simple,2500,0.25,2,1,"orchestrator,scout","Verify EPC status via government API. Check validity, retrieve certificate details."
PLAN-009,AML Compliance Check,aml_verification,3,3.1.4,medium,3500,0.50,3,1,"orchestrator,compliance,scout","Run AML checks. Identity verification, address check, PEP screening, sanctions check."
PLAN-010,Property Description Generation,description_generation,3,3.2.3,simple,6300,0.80,3,1,"orchestrator,content,compliance","Generate marketing description. Write compelling copy, validate compliance, approve for portals."
PLAN-011,Property Launch,launch_workflow,4,4.1.1|4.1.2|4.1.3|4.2.1,medium,8000,1.20,5,2,"orchestrator,scout,compliance,content","Launch property on portals. Verify materials ready, upload to all portals, notify matched buyers."
PLAN-012,Buyer Database Matching,buyer_matching,5,5.1.1,medium,5000,0.70,3,1,"orchestrator,scout,intelligence","Search buyer database for matches. Apply criteria, score matches, prioritize contact list."
PLAN-013,Portal Analytics Review,portal_analytics,5,5.2.1,simple,3000,0.40,2,1,"orchestrator,scout,intelligence","Retrieve and analyze portal performance stats. Compare to market averages."
PLAN-014,Immediate Enquiry Response,immediate_enquiry_response,6,6.1.1|6.1.2|6.1.3|6.1.4,simple,4300,0.83,5,2,"orchestrator,content,scout,compliance","Respond to buyer enquiry within 5 minutes. Generate email, prepare property brief, book viewing."
PLAN-015,Viewing Preparation,viewing_preparation,6,6.2.1|6.2.2|6.2.3|6.2.4,medium,5500,0.75,4,2,"orchestrator,scout,content","Prepare for scheduled viewings. Confirm with vendor, send buyer reminders, prepare property brief."
PLAN-016,Feedback Collection,feedback_collection,6,6.4.1|6.4.2,simple,3500,0.55,3,1,"orchestrator,intelligence,content","Collect and log viewing feedback. Analyze sentiment, update CRM, prepare vendor summary."
PLAN-017,Daily Feedback Aggregation,feedback_aggregation,7,7.1.1|7.1.2|7.1.3,medium,6000,0.85,3,1,"orchestrator,intelligence,scout","Aggregate all daily feedback. Identify patterns, flag concerns, prepare insights."
PLAN-018,Weekly Vendor Report,vendor_report_generation,7,7.2.1|7.2.2|7.2.3,complex,14800,1.55,5,2,"orchestrator,scout,intelligence,content","Generate comprehensive weekly vendor report. Activity stats, feedback analysis, recommendations."
PLAN-019,Price Reduction Processing,price_change_workflow,7,7.4.3|7.4.4|5.1.1,medium,7500,1.10,4,2,"orchestrator,scout,content,intelligence","Process price reduction. Update all portals, re-match buyers, notify interested parties."
PLAN-020,Offer Qualification,offer_qualification,8,8.1.1|8.1.2|8.1.3|8.1.4|8.1.5,medium,8500,1.25,5,2,"orchestrator,scout,compliance,intelligence","Qualify received offer. Verify funds, check chain status, confirm solicitor, assess buyer strength."
PLAN-021,Offer Presentation,offer_presentation_prep,8,8.2.1|8.2.2|8.2.3|8.2.4|8.2.5,medium,6500,0.95,4,2,"orchestrator,intelligence,content","Prepare offer presentation for vendor. Buyer analysis, market context, recommendation."
PLAN-022,Sale Agreed Workflow,sale_agreed_workflow,9,9.1.1|9.1.2|9.1.3|9.2.1|9.2.2|9.2.3|9.2.4,complex,12000,1.65,7,3,"orchestrator,scout,content,intelligence","Process sale agreed. Congratulations calls, collect all party details, initiate handover."
PLAN-023,MoS Generation & Distribution,mos_workflow,10,10.1.1|10.1.2|10.1.3|10.1.4|10.1.5|10.1.6|10.2.1|10.2.2|10.2.3|10.2.4|10.2.5,medium,9500,1.35,6,2,"orchestrator,scout,content","Generate and distribute Memorandum of Sale to all parties."
PLAN-024,Sales Progression Tracking,progression_tracking,11,11.1.1|11.2.1|11.4.1|11.5.1|11.6.1,complex,15000,1.85,8,3,"orchestrator,scout,intelligence,content","Weekly progression update. Chase solicitors, check mortgage, update chain status, notify parties."
PLAN-025,Completion & Post-Completion,completion_workflow,13|14,13.2.1|13.2.2|13.2.3|13.3.1|14.1.2|14.2.1|14.2.2|14.2.3|14.3.1,complex,18000,2.25,9,3,"orchestrator,scout,content,compliance","Monitor completion day, release keys, generate invoice, remove marketing, send thank you."
