query_id,stage_number,stage_name,substage,query_type,trigger_source,raw_query,expected_workflow,priority,complexity,expected_agents,expected_subtasks,context_required,sample_property_id,sample_vendor_id,sample_buyer_id,sample_employee_id,notes
QRY-001,1,Lead Generation,1.1 Vendor Lead Gen,inbound_lead,website_form,"New valuation request: Sarah Anderson, 47 Oak Road, M20 2QR, 3-bed semi. Phone: 07700111001. Wants to know value before deciding to sell.",inbound_lead_capture,high,simple,"orchestrator,scout,content",1.1.1,property_address|contact_details,PROP-2024-5678,VEN-001,,EMP-001,Standard website valuation form submission
QRY-002,1,Lead Generation,1.1 Vendor Lead Gen,outbound_prospect,door_knock,"Door knock result: 15 Elm Street, M20 3AB. Homeowner James Patterson answered. Interested in valuation. Booked for Thursday 2pm.",outbound_prospecting,medium,simple,"orchestrator,scout",1.1.2,address|appointment_time,PROP-2024-5679,VEN-002,,EMP-004,Successful door knock - appointment booked
QRY-003,1,Lead Generation,1.2 Buyer Lead Gen,portal_enquiry,rightmove,"Rightmove enquiry: Michael Brown interested in 47 Oak Road, M20 2QR. Message: 'Cash buyer, chain free, available for viewings anytime this week.'",portal_enquiry_response,high,simple,"orchestrator,content,scout,compliance",1.2.1,buyer_details|property_id,PROP-2024-5678,,BUY-2024-3001,EMP-001,Hot buyer - cash chain free
QRY-004,1,Lead Generation,1.2 Buyer Lead Gen,portal_enquiry,zoopla,"Zoopla enquiry: First time buyer Sophie Turner asking about 22 Maple Avenue. Has mortgage approved. Wants evening viewing.",portal_enquiry_response,high,simple,"orchestrator,content,scout",1.2.1,buyer_details|property_id,PROP-2024-5680,,BUY-2024-3003,EMP-003,FTB with AIP
QRY-005,1,Lead Generation,1.3 Lead Qualification,qualification_check,crm_trigger,"New buyer registration: Dr Aisha Patel. Budget £275k. Looking for 2-3 bed near hospital. Needs financial qualification check.",buyer_qualification,medium,simple,"orchestrator,scout,compliance",1.3.1|1.3.2,buyer_profile|financial_status,,,BUY-2024-3004,EMP-006,NHS doctor - verify employment
QRY-006,2,Valuation Appointment,2.1 Pre-Appointment,research_request,scheduled_task,"Valuation appointment tomorrow: 9 Mill Road, M20 1ST. Prepare CMA and marketing proposal for Dr Priya Sharma.",pre_valuation_prep,high,medium,"orchestrator,scout,intelligence,content",2.1.1|2.1.2|2.1.3,property_address|comparable_sales|vendor_details,PROP-2024-5683,VEN-006,,EMP-004,Full pre-valuation research needed
QRY-007,2,Valuation Appointment,2.1 Pre-Appointment,cma_request,manual_request,"Generate CMA report for 5 Willow Walk, M20 7KL. 5-bed detached, expecting £500k+. Include premium comparables.",cma_generation,high,medium,"orchestrator,scout,intelligence",2.1.2,property_details|local_comparables,PROP-2024-5692,VEN-015,,EMP-004,Premium property - need quality comps
QRY-008,2,Valuation Appointment,2.2 During Appointment,instant_valuation,mobile_app,"Vendor asking: 'What's my property worth?' Address: 7 Beech Grove, M20 8LK. 3-bed detached, extended 2022, solar panels.",instant_valuation,urgent,simple,"orchestrator,scout,intelligence",2.2.4,property_features|address,PROP-2024-5700,VEN-023,,EMP-004,On-site valuation request
QRY-009,2,Valuation Appointment,2.2 During Appointment,objection_handling,valuer_request,"Vendor objection at valuation: 'Your fee is too high at 1.5%. Online agents charge 0.5%.' Need response strategy.",objection_response,urgent,simple,"orchestrator,content,intelligence",2.2.6,competitor_fees|value_proposition,,,VEN-003,EMP-004,Fee objection - need talking points
QRY-010,2,Valuation Appointment,2.3 Post-Appointment,follow_up_required,crm_trigger,"Valuation completed yesterday: 66 Victoria Road. Vendor Julie Pearson didn't sign. Reason: needs to discuss with ex-husband. Schedule follow-up.",post_valuation_followup,medium,simple,"orchestrator,content",2.3.2|2.3.3,valuation_notes|vendor_situation,PROP-2024-5697,VEN-020,,EMP-001,Divorce situation - sensitive handling
