scenario_id,scenario_name,description,stages_covered,total_queries_chained,total_plans_used,property_id,vendor_id,buyer_id,employee_ids,stage_1_name,stage_1_query,stage_1_plan,stage_1_outcome,stage_2_name,stage_2_query,stage_2_plan,stage_2_outcome,stage_3_name,stage_3_query,stage_3_plan,stage_3_outcome,stage_4_name,stage_4_query,stage_4_plan,stage_4_outcome,stage_5_name,stage_5_query,stage_5_plan,stage_5_outcome,stage_6_name,stage_6_query,stage_6_plan,stage_6_outcome,total_time_ms,total_cost_usd,total_human_touchpoints,business_value,demo_talking_points
SC-001,Lead to Launch in 24 Hours,Complete journey from website enquiry to property live on portals,"1,2,3,4",6,6,PROP-2024-5678,VEN-001,,EMP-004|EMP-001|EMP-009,Lead Capture,QRY-001,PLAN-001,Lead captured and valuer alerted,Pre-Valuation Prep,QRY-006,PLAN-004,CMA ready for appointment,Instruction Onboarding,QRY-011,PLAN-007,Property record created with AML and EPC,Description Generation,QRY-014,PLAN-010,Marketing description approved,Property Launch,QRY-017,PLAN-011,Live on 3 portals,Buyer Notification,QRY-018,PLAN-012,15 buyers pre-notified,85000,7.25,3,Property marketed 3x faster than manual process,"24-hour lead-to-live vs industry avg 7 days"
SC-002,Enquiry to Offer in 48 Hours,Buyer enquires and makes offer within 2 days,"1,5,6,7,8",7,7,PROP-2024-5678,VEN-001,BUY-2024-3001,EMP-001|EMP-003,Portal Enquiry,QRY-003,PLAN-002,Buyer receives response in 4 mins,Buyer Matching,QRY-021,PLAN-012,Buyer scored 94% match,Viewing Booking,QRY-027,PLAN-015,Viewing scheduled next day,Viewing Feedback,QRY-029,PLAN-016,Very interested - wants to offer,Offer Received,QRY-036,PLAN-020,£275k cash offer qualified,Offer Presentation,QRY-038,PLAN-021,Recommendation prepared for vendor,48500,5.85,2,Speed captures motivated buyers before competition,"Cash buyer secured in 48 hours vs weeks"
SC-003,Sale Agreed to Exchange,Complete progression from offer acceptance to contracts exchanged,"9,10,11,12",6,5,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-001|EMP-005,Sale Agreed,QRY-041,PLAN-022,Congratulations sent and handover complete,MoS Distribution,QRY-046,PLAN-023,All parties received memorandum,Weekly Progression,QRY-052,PLAN-024,Solicitors chased and chain tracked,Exchange Readiness,QRY-056,PLAN-024,All parties confirmed ready,Exchange Day,QRY-058,PLAN-024,Contracts exchanged successfully,Post-Exchange,QRY-059,PLAN-024,Completion date set 15th December,62000,6.45,4,Faster progression = fewer fall-throughs,"Exchange in 6 weeks vs industry avg 12 weeks"
SC-004,Completion Day Full Workflow,Entire completion day from morning check to keys handed,13|14|15,5,3,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005|EMP-001|EMP-020,Pre-Completion Check,QRY-061,PLAN-025,All parties ready for completion,Funds Monitoring,QRY-062,PLAN-025,Funds received 10:30am,Key Handover,QRY-064,PLAN-025,Keys released at 2:20pm,Invoice Generation,QRY-066,PLAN-025,Commission invoice submitted,Marketing Removal,QRY-067,PLAN-025,All portals cleared and board collected,Review Request,QRY-068,PLAN-025,Both parties asked for Google review,28000,3.85,2,Seamless completion experience builds reputation,"Zero delays on completion day"
SC-005,Problem Property Turnaround,Low interest property gets price reduction and sells,"5,7,7,8,9",6,5,PROP-2024-5680,VEN-003,BUY-2024-3002,EMP-003|EMP-009,Marketing Review,QRY-024,PLAN-013,Low interest identified - 21 days no offers,Feedback Analysis,QRY-031,PLAN-017,Pattern: price too high for condition,Vendor Report,QRY-032,PLAN-018,Report recommends £10k reduction,Price Reduction,QRY-034,PLAN-019,Price dropped and buyers notified,New Offer,QRY-036,PLAN-020,Offer received within 5 days,Sale Agreed,QRY-041,PLAN-022,Sold at new price,52000,5.95,3,Data-driven decisions save stale listings,"AI identified issue and solved it in 1 week"
SC-006,Chain Management Success,Complex 4-link chain managed to completion,"9,11,11,12,13",6,4,PROP-2024-5682,VEN-005,BUY-2024-3023,EMP-005,Sale Agreed,QRY-041,PLAN-022,Sale agreed with chain buyer,Chain Mapping,QRY-043,PLAN-022,Full 4-link chain visualized,Chain Risk Detection,QRY-055,PLAN-024,One weak link identified early,Intervention,QRY-055,PLAN-024,Weak link supported - stayed on track,Exchange Coordination,QRY-057,PLAN-024,All 4 parties exchanged same day,Completion,QRY-062,PLAN-025,Chain completed successfully,75000,7.25,5,Complex chains managed without collapse,"4-link chain completed - 0 fall-throughs"
SC-007,Premium Property Journey,High-value property from instruction to completion,"3,4,5,6,8,9",8,7,PROP-2024-5702,VEN-025,BUY-2024-3018,EMP-001|EMP-004,Instruction,QRY-011,PLAN-007,£650k property onboarded with enhanced DD,Premium Launch,QRY-017,PLAN-011,Discrete launch to qualified buyers only,Targeted Matching,QRY-021,PLAN-012,4 high-net-worth matches found,Private Viewings,QRY-028,PLAN-015,3 private viewings arranged,Qualified Offer,QRY-036,PLAN-020,£640k cash offer from verified buyer,Negotiation,QRY-040,PLAN-021,Counter at £650k accepted,Sale Agreed,QRY-041,PLAN-022,Sale progressing chain-free,95000,9.50,4,Premium service for premium properties,"£650k sale with white-glove AI service"
SC-008,First-Time Buyer Success,FTB journey from registration to keys,"1,5,6,8,9,13",7,6,PROP-2024-5684,VEN-007,BUY-2024-3002,EMP-006|EMP-003|EMP-005,Buyer Registration,QRY-005,PLAN-003,FTB registered with AIP verified,Property Matching,QRY-023,PLAN-012,Matched to 23 Valley Drive,Viewing Booked,QRY-027,PLAN-015,Evening viewing arranged,Positive Feedback,QRY-029,PLAN-016,Loved it - wants to offer,Offer Accepted,QRY-041,PLAN-022,£182k offer accepted,Smooth Progression,QRY-051,PLAN-024,No chain - quick progression,Completion,QRY-064,PLAN-025,First home keys handed over,68000,6.15,3,Helping first-time buyers achieve homeownership,"FTB supported from start to keys in 10 weeks"
SC-009,Investor Portfolio Sale,Multiple property sale to single investor,"1,3,5,8,9,14",6,6,PROP-2024-5695|PROP-2024-5704,VEN-018|VEN-027,BUY-2024-3010,EMP-006|EMP-003,Investor Enquiry,QRY-003,PLAN-002,Investor interested in 2 properties,Portfolio Matching,QRY-025,PLAN-012,Both properties match yield requirements,Dual Viewing,QRY-028,PLAN-015,Both properties viewed same day,Combined Offer,QRY-036,PLAN-020,£440k offer for both verified,Sales Agreed,QRY-041,PLAN-022,Both sales agreed simultaneously,Dual Completion,QRY-062,PLAN-025,Both completed same day,85000,8.25,3,Efficient handling of portfolio transactions,"2 properties sold to 1 buyer - double commission"
SC-010,Relocation Rescue,Urgent relocator housed in 3 weeks,"1,5,6,8,9,12,13",8,7,PROP-2024-5683,VEN-006,BUY-2024-3021,EMP-001|EMP-005,Urgent Registration,QRY-023,PLAN-012,London relocator - cash - needs home in 3 weeks,Immediate Matching,QRY-023,PLAN-012,5 suitable properties identified,Same-Day Viewings,QRY-028,PLAN-015,3 viewings arranged same day,Quick Offer,QRY-036,PLAN-020,Offer on 9 Mill Road same evening,Fast Agreement,QRY-041,PLAN-022,Sale agreed within 24 hours,Rapid Progression,QRY-051,PLAN-024,Both solicitors expedited,Quick Exchange,QRY-057,PLAN-024,Exchanged in 2 weeks,Keys in 3 Weeks,QRY-064,PLAN-025,Completed and keys handed,72000,7.85,4,Urgent needs met with AI speed,"Lead to keys in 21 days - impossible manually"
