scenario_id,stage,scenario_name,error_type,description,trigger_query_id,plan_id,property_id,vendor_id,buyer_id,employee_id,error_detected,error_source,retry_attempt_1,retry_result_1,retry_attempt_2,retry_result_2,fallback_action,final_resolution,time_taken_ms,cost_usd,human_escalated,recovery_strategy,demo_talking_points
ER-001,3,EPC API Down,api_failure,Government EPC register API returns 503 error,QRY-012,PLAN-008,PROP-2024-5678,VEN-001,,EMP-008,API Error 503: Service Unavailable,epc_register_api,Retry after 5 seconds,Failed - 503 persists,Retry after 30 seconds,Failed - 503 persists,Use cached EPC data from Land Registry,EPC verified from cached data (last sync 24hrs ago) - flagged for revalidation,8500,0.35,false,retry_then_cache,System continues working even when external APIs fail
ER-002,3,AML Service Timeout,api_timeout,Experian AML check times out after 30 seconds,QRY-013,PLAN-009,PROP-2024-5685,VEN-008,,EMP-018,Timeout: No response after 30000ms,experian_api,Retry with extended timeout 60s,Success - AML check completed,n/a,n/a,n/a,AML verified: PASS - certificate AML-2024-9008 issued,65000,0.55,false,retry_extended_timeout,Graceful retry prevents false failures
ER-003,4,Rightmove Upload Fail,api_rejection,Rightmove rejects listing due to invalid postcode format,QRY-017,PLAN-011,PROP-2024-5700,VEN-023,,EMP-009,Error 400: Invalid postcode format M20 8LK,rightmove_api,Auto-correct postcode to M20 8LK,Failed - same error,Validate against Royal Mail PAF,Correct format: M20 8LK (space issue),Resubmit with corrected postcode,Listed successfully on Rightmove after format correction,12000,0.45,false,auto_correct_retry,AI self-corrects data format errors
ER-004,4,Portal Rate Limit,api_throttle,Zoopla API rate limit exceeded during bulk upload,QRY-017,PLAN-011,PROP-2024-5688,VEN-011,,EMP-009,Error 429: Rate limit exceeded - retry after 60s,zoopla_api,Wait 60 seconds then retry,Success - listing uploaded,n/a,n/a,n/a,All 3 portals updated - Zoopla delayed 60s,68000,0.65,false,backoff_retry,Respects API limits - completes without crashing
ER-005,5,Database Connection Lost,infrastructure,CRM database connection drops mid-query,QRY-021,PLAN-012,PROP-2024-5702,VEN-025,,EMP-001,ConnectionError: Database connection lost,crm_database,Reconnect and retry query,Failed - connection refused,Wait 10s and reconnect,Success - connected,n/a,Buyer matching completed with 4 matches found,18000,0.85,false,reconnect_retry,Database blips don't break workflows
ER-006,6,Email Delivery Bounce,delivery_failure,Buyer email bounces - invalid address,QRY-026,PLAN-014,PROP-2024-5680,,BUY-2024-3017,EMP-003,Bounce: 550 User not found,email_server,Check for typo in email,Found: rebeca vs rebecca,Correct email and resend,Success - delivered,n/a,Email delivered to corrected address rebecca.stone@charity.org,6500,0.90,false,auto_correct_retry,AI fixes common typos automatically
ER-007,7,LLM Rate Limit,ai_throttle,Content generation hits OpenAI rate limit,QRY-032,PLAN-018,PROP-2024-5678,VEN-001,,EMP-001,Error 429: Rate limit exceeded on GPT-4,openai_api,Switch to backup model Claude,Success - report generated,n/a,n/a,n/a,Weekly report generated using fallback LLM,16500,1.75,false,model_fallback,Multi-LLM setup ensures no downtime
ER-008,8,Proof of Funds Unreadable,document_error,Uploaded bank statement is corrupted/unreadable PDF,QRY-036,PLAN-020,PROP-2024-5692,,BUY-2024-3025,EMP-001,Error: PDF extraction failed - file corrupted,document_parser,Try alternative PDF parser,Failed - file genuinely corrupted,n/a,n/a,Request new document from buyer,Email sent to buyer requesting re-upload of bank statement,5500,0.45,false,request_new_input,Graceful handling of bad uploads
ER-009,10,MoS Email Blocked,delivery_failure,Solicitor email server blocks attachment,QRY-046,PLAN-023,PROP-2024-5682,VEN-005,BUY-2024-3023,EMP-005,Blocked: Attachment rejected by recipient server,email_server,Resend with compressed attachment,Failed - still blocked,Send as secure link instead,Success - delivered via link,n/a,MoS delivered via secure download link,9500,1.45,false,alternative_delivery,Multiple delivery methods ensure documents arrive
ER-010,13,Completion Tracker Crash,system_failure,Monitoring service crashes on completion day,QRY-062,PLAN-025,PROP-2024-5694,VEN-017,BUY-2024-3037,EMP-005,Service crash: Completion monitor unresponsive,internal_service,Auto-restart service,Success - service restored in 45s,n/a,n/a,n/a,Monitoring resumed - no data lost - completion tracked successfully,48000,1.05,true,auto_restart,Self-healing systems minimize downtime
