property_id,address_line1,address_line2,city,postcode,property_type,bedrooms,bathrooms,reception_rooms,tenure,asking_price,price_qualifier,status,days_on_market,instruction_date,epc_rating,epc_expiry,council_tax_band,year_built,square_feet,garden,parking,garage,key_features,property_description_status,photos_count,floorplan_available,virtual_tour_available,assigned_negotiator_id,assigned_valuer_id,vendor_id,portal_rightmove,portal_zoopla,portal_onthemarket,total_viewings,total_enquiries,offers_received,current_offer_amount,chain_status,notes
PROP-2024-5678,47 Oak Road,,Manchester,M20 2QR,semi_detached_house,3,2,2,freehold,285000,guide_price,active,5,2024-11-21,C,2033-05-15,D,1935,1150,rear_garden_40ft,driveway_2_cars,single,"modern_kitchen,recently_renovated,close_to_schools,south_facing_garden",approved,18,true,true,EMP-001,EMP-004,VEN-001,true,true,true,12,28,2,275000,chain_free_buyers,"Popular property generating strong interest. Two offers received."
PROP-2024-5679,15 Elm Street,,Manchester,M20 3AB,detached_house,4,3,3,freehold,450000,offers_over,active,12,2024-11-14,B,2031-08-22,E,1920,1850,rear_garden_60ft,driveway_3_cars,double,"period_features,extension_potential,annexe_possibility,quiet_location",approved,24,true,true,EMP-001,EMP-004,VEN-002,true,true,true,8,15,1,435000,dependent_sale,"Premium property. Vendor found onward purchase, ready to proceed."
PROP-2024-5680,22 Maple Avenue,,Manchester,M20 1CD,terraced_house,2,1,1,freehold,225000,fixed_price,active,21,2024-11-05,D,2028-03-10,C,1905,780,courtyard_garden,street_parking,none,"first_time_buyer_ideal,original_features,improvement_potential",approved,12,true,false,EMP-003,EMP-007,VEN-003,true,true,true,15,32,0,0,no_chain,"Good starter home. Price recently reduced by £10k."
PROP-2024-5681,8 High Street,Flat 4,Manchester,M21 4EF,flat,1,1,1,leasehold,165000,guide_price,active,8,2024-11-18,B,2034-01-05,B,2015,520,none,allocated_space,none,"modern_build,city_views,concierge,gym_access",approved,10,true,true,EMP-006,EMP-007,VEN-004,true,true,true,6,18,1,160000,first_time_buyer,"Investor interest as well. Current offer from FTB."
PROP-2024-5682,31 Park Road,,Manchester,M20 5GH,semi_detached_house,3,1,2,freehold,295000,guide_price,under_offer,28,2024-10-29,C,2029-11-20,D,1930,1050,rear_garden_35ft,driveway_1_car,single,"bay_windows,original_fireplaces,cellar,loft_conversion_potential",approved,16,true,false,EMP-001,EMP-004,VEN-005,true,true,true,18,42,3,290000,chain,"Accepted offer from chain buyer. Progressing well."
PROP-2024-5683,9 Mill Road,,Manchester,M20 1ST,detached_house,4,2,2,freehold,350000,offers_invited,active,3,2024-11-23,C,2030-06-18,D,1960,1400,large_garden_80ft,driveway_2_cars,double,"extended_kitchen,utility_room,home_office,corner_plot",approved,20,true,true,EMP-001,EMP-004,VEN-006,true,true,true,4,22,0,0,vendor_chain_free,"New instruction. Strong early interest. 5 viewings booked."
PROP-2024-5684,23 Valley Drive,,Manchester,M20 5AB,flat,2,1,1,leasehold,185000,guide_price,active,15,2024-11-11,B,2033-09-12,B,2018,650,balcony,underground_parking,none,"help_to_buy_eligible,new_build,lift_access,bike_storage",approved,14,true,true,EMP-006,EMP-007,VEN-007,true,true,true,10,35,2,182000,first_time_buyer,"Popular with FTBs. Two competing offers."
PROP-2024-5685,The Old Barn,Rural Lane,Manchester,M23 9XY,converted_barn,3,2,2,freehold,385000,offers_over,active,7,2024-11-19,D,2027-04-30,E,1850,1600,1_acre_land,driveway_4_cars,barn_garage,"vaulted_ceilings,exposed_beams,rural_setting,equestrian_potential",approved,22,true,true,EMP-011,EMP-016,VEN-008,true,true,true,5,12,0,0,chain_free,"Unique character property. Niche market but good interest."
PROP-2024-5686,14 York Avenue,,Manchester,M20 3WX,semi_detached_house,3,1,2,freehold,280000,guide_price,sold_stc,45,2024-10-12,C,2031-02-28,D,1928,1020,rear_garden_30ft,driveway_1_car,none,"conservatory,new_boiler_2023,rewired_2022",approved,15,true,false,EMP-003,EMP-004,VEN-009,true,true,true,22,48,4,278000,chain,"Sale agreed. Exchange expected within 2 weeks."
PROP-2024-5687,8 Queens Drive,,Manchester,M20 7LM,terraced_house,3,2,2,freehold,288000,guide_price,active,10,2024-11-16,C,2032-07-14,D,1910,950,rear_garden_25ft,street_parking,none,"through_lounge,modern_bathroom,close_to_metro",approved,14,true,false,EMP-003,EMP-007,VEN-010,true,true,true,9,24,1,280000,proceedable,"Offer received from proceedable buyer. Awaiting vendor decision."
