scenario_id,stage,scenario_name,description,trigger_query_id,plan_id,input_summary,property_id,vendor_id,buyer_id,employee_id,step_1_agent,step_1_action,step_1_output,step_2_agent,step_2_action,step_2_output,step_3_agent,step_3_action,step_3_output,step_4_agent,step_4_action,step_4_output,final_outcome,time_taken_ms,cost_usd,human_involvement,success_metrics,demo_talking_points
HP-001,1,Website Valuation Lead,New valuation request from website form,QRY-001,PLAN-001,Sarah Anderson submits valuation request for 47 Oak Road via website,PROP-2024-5678,VEN-001,,EMP-004,orchestrator,Parse form data and validate,lead_data_validated,scout,Create CRM lead record,CRM record created: LEAD-2024-8901,content,Send acknowledgment email,Email sent to sarah.anderson@email.com,,,,Lead captured and valuer notified within 2 minutes,3500,0.45,Valuer receives task notification,Response time: 2 mins | Lead quality score: 85%,Show instant lead capture vs manual entry taking 15+ mins
HP-002,1,Hot Buyer Portal Enquiry,Cash buyer enquires via Rightmove,QRY-003,PLAN-002,Michael Brown (cash chain-free) enquires about 47 Oak Road on Rightmove,PROP-2024-5678,,BUY-2024-3001,EMP-001,orchestrator,Analyze enquiry priority,Priority: URGENT - Cash buyer,content,Generate personalized response,Email with viewing availability drafted,scout,Prepare property highlights,Key features brief ready,compliance,Validate email content,Approved - no compliance issues,Buyer receives response in 4 mins with viewing options,4300,0.83,Negotiator follows up by phone,Response time: 4 mins | Booking rate: 78%,Speed wins - show 4 min response vs industry avg 4 hours
HP-003,2,Pre-Valuation Research,Automated CMA before appointment,QRY-006,PLAN-004,Tomorrow's valuation at 9 Mill Road - system auto-prepares,PROP-2024-5683,VEN-006,,EMP-004,orchestrator,Identify research needs,Research plan created,scout,Fetch Land Registry and EPC data,Property data retrieved: 4-bed detached built 1960,scout,Find 6 comparable sales,6 comps found: avg £345k in M20,intelligence,Analyze and value,Suggested range: £340k-£360k,Valuer arrives with complete CMA pack ready,8500,1.45,Valuer reviews before appointment,CMA accuracy: 94% | Time saved: 45 mins,Valuer prep done automatically overnight
HP-004,2,Instant Valuation Request,Vendor asks value during appointment,QRY-008,PLAN-005,Vendor at 7 Beech Grove asks 'What's my house worth?' on-site,PROP-2024-5700,VEN-023,,EMP-004,orchestrator,Parse property features,Features: 3-bed extended solar panels,scout,Quick comparable search,4 recent sales found in 500m radius,intelligence,Calculate estimate,Estimate: £355k-£375k (confidence: 87%),,,,Valuer gives confident answer within 30 seconds,2500,0.55,Valuer communicates to vendor,Estimate accuracy: 92% | Vendor confidence: high,Show real-time valuation support during appointment
HP-005,3,New Instruction Onboarding,Complete property setup after signing,QRY-011,PLAN-007,Sarah Anderson signs for 47 Oak Road - full onboarding triggered,PROP-2024-5678,VEN-001,,EMP-001,scout,Create CRM record + verify EPC,Record PROP-2024-5678 created | EPC: C valid,compliance,Run AML checks,AML passed: cert AML-2024-9001,content,Write property description,178 words approved description,intelligence,Match 15 buyers,Top match: BUY-2024-3001 (94% score),Property ready for launch with 15 pre-matched buyers,45000,2.70,Negotiator reviews description,Setup time: 45 sec | Buyer matches: 15,45 seconds vs 2+ hours manual - 99% faster
HP-006,3,Property Description Writing,AI generates compliant description,QRY-014,PLAN-010,Generate description for 23 Valley Drive targeting first-time buyers,PROP-2024-5684,VEN-007,,EMP-009,orchestrator,Analyze property and audience,Target: FTB | Tone: welcoming,content,Generate description draft,195 words highlighting help-to-buy and modern features,compliance,Validate for CPR compliance,Approved - no exaggerated claims,,,,Compliant description ready in 6 seconds,6300,0.80,Marketing reviews final copy,First-draft acceptance: 97% | Compliance: 100%,AI writes better descriptions faster than humans
HP-007,4,Property Portal Launch,Simultaneous multi-portal upload,QRY-017,PLAN-011,Launch 7 Beech Grove on all portals,PROP-2024-5700,VEN-023,,EMP-009,orchestrator,Verify all materials ready,Checklist passed: photos EPC description,compliance,Final compliance check,All materials approved,scout,Upload to Rightmove Zoopla OTM,Live on 3 portals simultaneously,content,Email 6 matched buyers,Pre-launch notifications sent,Property live on all portals + buyers notified in 8 seconds,8000,1.20,None required,Portal sync: instant | Pre-notifications: 6 buyers,Buyers contacted BEFORE public listing = competitive edge
HP-008,4,Pre-Launch Buyer Matching,Find buyers before portal listing,QRY-018,PLAN-012,Match buyers for 47 Oak Road launching tomorrow,PROP-2024-5678,VEN-001,,EMP-001,orchestrator,Extract matching criteria,3-bed semi M20 £285k garden parking,scout,Search 50 registered buyers,23 potential matches found,intelligence,Score and rank matches,Top 8 scored 80%+ compatibility,,,,8 hot buyers ready to contact before public launch,5000,0.70,Negotiator calls top 5,Matches found: 23 | Hot leads: 8,Buyers lined up before competition sees listing
HP-009,5,Daily Buyer Matching,Ongoing matching for active listing,QRY-021,PLAN-012,Daily matching run for 25 Manor Lane (prestige property),PROP-2024-5702,VEN-025,,EMP-001,orchestrator,Parse luxury criteria,5-bed £650k pool tennis period,scout,Search buyer database,4 matches in budget range,intelligence,Deep match scoring,Top: BUY-2024-3018 (85%) cash buyer,,,,Qualified buyer identified for prestige property,5000,0.70,Negotiator arranges private viewing,Quality matches: 4 | Cash buyers: 2,AI finds needle-in-haystack matches for niche properties
HP-010,5,Hot Buyer Alert,Urgent matching for new registration,QRY-023,PLAN-012,Alexander Grant registers - relocating from London £400k cash urgent,,,BUY-2024-3021,EMP-001,orchestrator,Flag as urgent priority,URGENT: Cash relocation buyer,scout,Search all active properties,12 properties in criteria,intelligence,Rank by availability,Top 5 available for immediate viewing,,,,Hot buyer matched to 5 properties in 90 seconds,5000,0.70,Negotiator calls within 10 mins,Match speed: 90 sec | Properties: 5,Capture relocating buyers before competitors
