script_id,script_name,workflow_type,plan_id,total_messages,agents_involved,trigger_input,description
AIS-001,Simple Enquiry Response,portal_enquiry_response,PLAN-002,8,"orchestrator,content,scout,compliance","Rightmove enquiry from buyer","Basic enquiry response flow with parallel content and scout"
AIS-002,Full Property Onboarding,full_onboarding,PLAN-007,16,"orchestrator,scout,intelligence,content,compliance","Instruction signed","Complete new instruction with all agents"
AIS-003,Buyer Matching,buyer_matching,PLAN-012,6,"orchestrator,scout,intelligence","New property launch","Find and score matching buyers"
AIS-004,Weekly Vendor Report,vendor_report_generation,PLAN-018,10,"orchestrator,scout,intelligence,content","Weekly report trigger","Generate comprehensive vendor update"
AIS-005,Offer Qualification,offer_qualification,PLAN-020,10,"orchestrator,scout,compliance,intelligence","Offer received","Verify buyer and score offer"
AIS-006,Sale Agreed Processing,sale_agreed_workflow,PLAN-022,14,"orchestrator,scout,content,intelligence","Sale agreed","Complete sale agreed workflow"
AIS-007,MoS Generation,mos_workflow,PLAN-023,12,"orchestrator,scout,content","Sale ready for MoS","Create and distribute memorandum"
AIS-008,Completion Monitoring,completion_workflow,PLAN-025,12,"orchestrator,scout,content,compliance","Completion day","Track completion and release keys"
AIS-009,Error Recovery - API Fail,error_recovery,PLAN-008,8,"orchestrator,scout","EPC API down","Handle API failure with retry and cache"
AIS-010,Human Escalation,human_in_loop,PLAN-020,10,"orchestrator,compliance,human","AML flag detected","Escalate to human for approval"
AIS-011,Chain Risk Detection,chain_analysis,PLAN-024,8,"orchestrator,scout,intelligence","Chain status check","Detect and flag chain problems"
AIS-012,Price Reduction Flow,price_change_workflow,PLAN-019,10,"orchestrator,scout,content,intelligence","Vendor approves reduction","Update portals and notify buyers"
AIS-013,Viewing Preparation,viewing_preparation,PLAN-015,8,"orchestrator,scout,content","Viewings scheduled tomorrow","Prepare vendor and buyers"
AIS-014,Feedback Analysis,feedback_aggregation,PLAN-017,8,"orchestrator,scout,intelligence,content","End of day","Compile and analyze daily feedback"
AIS-015,Urgent Buyer Match,urgent_matching,PLAN-012,8,"orchestrator,scout,intelligence,content","Hot buyer registered","Fast-track matching for urgent buyer"

---
script_id,message_seq,from_agent,to_agent,message_type,action,payload_summary,response_expected,time_ms,cost_usd
AIS-001,1,system,orchestrator,trigger,receive_enquiry,"{buyer: Sophie Turner, property: PROP-2024-5680, source: rightmove}",true,0,0
AIS-001,2,orchestrator,orchestrator,internal,analyze_priority,"Priority: HIGH - FTB with AIP",false,450,0.05
AIS-001,3,orchestrator,content,request,generate_email,"{template: enquiry_response, buyer: Sophie, property: 22 Maple Avenue}",true,0,0
AIS-001,4,orchestrator,scout,request,prepare_brief,"{property_id: PROP-2024-5680}",true,0,0
AIS-001,5,content,orchestrator,response,email_draft,"{subject: Your enquiry about 22 Maple Avenue, body: 195 words, slots: 3}",false,3200,0.45
AIS-001,6,scout,orchestrator,response,property_brief,"{highlights: [FTB ideal, £225k, 2-bed], talking_points: 5}",false,1500,0.20
AIS-001,7,orchestrator,compliance,request,validate_email,"{email_draft: ...}",true,0,0
AIS-001,8,compliance,orchestrator,response,validation_result,"{status: APPROVED, flags: none}",false,800,0.12

AIS-002,1,system,orchestrator,trigger,instruction_signed,"{property: PROP-2024-5678, vendor: VEN-001, fee: 1.2%}",true,0,0
AIS-002,2,orchestrator,orchestrator,internal,create_plan,"{plan: PLAN-007, groups: 4, steps: 8}",false,850,0.08
AIS-002,3,orchestrator,scout,request,create_crm_record,"{property: 47 Oak Road, vendor: Sarah Anderson}",true,0,0
AIS-002,4,orchestrator,scout,request,verify_epc,"{address: 47 Oak Road, M20 2QR}",true,0,0
AIS-002,5,orchestrator,compliance,request,run_aml,"{vendor: VEN-001, documents: [passport, utility_bill]}",true,0,0
AIS-002,6,scout,orchestrator,response,crm_created,"{property_id: PROP-2024-5678, record_complete: true}",false,4000,0.40
AIS-002,7,scout,orchestrator,response,epc_verified,"{rating: C, expiry: 2033-05-15, valid: true}",false,2500,0.25
AIS-002,8,compliance,orchestrator,response,aml_passed,"{certificate: AML-2024-9001, risk: low}",false,3000,0.35
AIS-002,9,orchestrator,content,request,generate_description,"{property_id: PROP-2024-5678, features: [...]}",true,0,0
AIS-002,10,orchestrator,intelligence,request,match_buyers,"{criteria: {beds: 3, price: 285000, postcode: M20}}",true,0,0
AIS-002,11,content,orchestrator,response,description_draft,"{words: 178, highlights: 5, tone: family_friendly}",false,4500,0.65
AIS-002,12,intelligence,orchestrator,response,buyer_matches,"{total: 23, hot: 8, top_match: BUY-2024-3001, score: 94}",false,5000,0.70
AIS-002,13,orchestrator,compliance,request,validate_description,"{description: ...}",true,0,0
AIS-002,14,compliance,orchestrator,response,description_approved,"{status: APPROVED, cpr_compliant: true}",false,1200,0.15
AIS-002,15,orchestrator,orchestrator,internal,schedule_launch,"{date: 2024-11-28, portals: [rightmove, zoopla, otm]}",false,1000,0.08
AIS-002,16,orchestrator,system,complete,onboarding_done,"{property_id: PROP-2024-5678, ready: true, buyers_matched: 23}",false,500,0.04

AIS-003,1,system,orchestrator,trigger,match_request,"{property_id: PROP-2024-5700, criteria: {beds: 3, price: 365000}}",true,0,0
AIS-003,2,orchestrator,scout,request,search_buyers,"{postcode: M20, min_budget: 340000, max_budget: 400000, beds: 3}",true,0,0
AIS-003,3,scout,orchestrator,response,raw_matches,"{found: 18, buyers: [...]}",false,2500,0.35
AIS-003,4,orchestrator,intelligence,request,score_matches,"{buyers: [...], property_features: [...]}",true,0,0
