scenario_id,stage,scenario_name,edge_case_type,description,trigger_query_id,plan_id,property_id,vendor_id,buyer_id,employee_id,issue_detected,agent_handling,resolution_action,final_outcome,time_taken_ms,cost_usd,human_required,demo_talking_points
EC-001,1,Duplicate Lead,data_quality,Same vendor submits valuation request twice within 24 hours,QRY-001,PLAN-001,PROP-2024-5678,VEN-001,,EMP-004,Duplicate detected: same email + address in CRM,orchestrator,Flag duplicate and merge records,Lead deduplicated - original record updated with new timestamp,2000,0.25,false,AI prevents duplicate records cluttering CRM
EC-002,1,Incomplete Enquiry,missing_data,Buyer enquiry missing phone number and budget,QRY-003,PLAN-002,PROP-2024-5680,,BUY-2024-3050,EMP-003,Missing fields: phone and budget,content,Generate response requesting missing info,Email sent asking buyer to provide contact number and budget range,3500,0.65,false,AI knows what's missing and asks politely
EC-003,2,EPC Expired,compliance_block,Property EPC expired - cannot proceed with valuation,QRY-006,PLAN-004,PROP-2024-5695,VEN-018,,EMP-004,EPC expiry: 2025-01-20 - expires in 54 days,scout,Flag EPC renewal required,Alert sent to vendor: EPC renewal needed before marketing,4500,0.55,true,Compliance issues caught early not at launch
EC-004,2,No Comparable Sales,insufficient_data,Rural property with no recent comparable sales nearby,QRY-007,PLAN-004,PROP-2024-5685,VEN-008,,EMP-004,Only 1 comparable found within 2 miles in 12 months,intelligence,Widen search radius + use price-per-sqft method,CMA generated using alternative methodology with confidence note,9500,1.65,true,AI adapts methodology when data is sparse
EC-005,3,AML Flag - PEP,compliance_alert,Vendor identified as Politically Exposed Person,QRY-013,PLAN-009,PROP-2024-5702,VEN-025,,EMP-018,PEP check: FLAGGED - Lord Edward Blackwood,compliance,Escalate for enhanced due diligence,EDD process initiated - manual compliance review required,4000,0.55,true,High-risk clients automatically escalated
EC-006,3,Property Already Listed,data_conflict,Instruction signed but property found on competitor portal,QRY-011,PLAN-007,PROP-2024-5693,VEN-016,,EMP-011,Property found active on PurpleBricks listing,scout,Alert negotiator - potential multi-agency conflict,Workflow paused - negotiator to clarify with vendor,5000,0.45,true,AI detects conflicts before embarrassment
EC-007,4,Photo Quality Fail,quality_check,Property photos too dark/blurry for portal standards,QRY-016,PLAN-011,PROP-2024-5680,VEN-003,,EMP-009,3 of 12 photos below quality threshold (resolution/lighting),compliance,Reject launch and flag photos,Launch blocked - photographer rebooking requested,3500,0.35,true,Quality gates prevent poor listings going live
EC-008,4,Missing Floorplan,incomplete_materials,Property ready to launch but floorplan not uploaded,QRY-017,PLAN-011,PROP-2024-5701,VEN-024,,EMP-009,Floorplan: MISSING - required for Rightmove premium,orchestrator,Partial launch or delay decision,Launched on Zoopla/OTM - Rightmove delayed pending floorplan,6500,0.85,false,AI makes smart partial decisions
EC-009,5,Buyer Budget Mismatch,matching_logic,Buyer registered budget doesn't match enquiry property,QRY-023,PLAN-012,PROP-2024-5702,,BUY-2024-3017,EMP-001,Budget £210k but enquiring on £650k property,intelligence,Flag mismatch - verify buyer intent,Response sent asking if budget has changed or if error,4000,0.55,false,AI catches unrealistic enquiries
EC-010,5,Oversubscribed Viewing,capacity_limit,15 buyers want same viewing slot,QRY-028,PLAN-015,PROP-2024-5700,VEN-023,,EMP-001,15 requests for Saturday 10am slot - max capacity 6,orchestrator,Prioritize by buyer score and create waitlist,Top 6 booked by match score - 9 offered alternative slots,5500,0.75,false,AI prioritizes best buyers automatically
